,c3_10_a_mean,c3_10_a_variance,c3_10_a_max,c3_10_a_min,c3_10_a_2max,c3_10_a_2min,c3_10_b_mean,c3_10_b_variance,c3_10_b_max,c3_10_b_min,c3_10_b_2max,c3_10_b_2min,c3_10_y_mean,c3_10_y_variance,c3_10_y_max,c3_10_y_min,c3_10_y_2max,c3_10_y_2min,c3_45_a_mean,c3_45_a_variance,c3_45_a_max,c3_45_a_min,c3_45_a_2max,c3_45_a_2min,c3_45_b_mean,c3_45_b_variance,c3_45_b_max,c3_45_b_min,c3_45_b_2max,c3_45_b_2min,t_0deg_940_mean,t_0deg_940_variance,t_0deg_940_max,t_0deg_940_min,t_0deg_940_2max,t_0deg_940_2min,t_40deg_920_960_avg_mean,t_40deg_920_960_avg_variance,t_40deg_920_960_avg_max,t_40deg_920_960_avg_min,t_40deg_920_960_avg_2max,t_40deg_920_960_avg_2min,t_0deg_400_770_avg_mean,t_0deg_400_770_avg_variance,t_0deg_400_770_avg_max,t_0deg_400_770_avg_min,t_0deg_400_770_avg_2max,t_0deg_400_770_avg_2min
c3_45_a_mean,0.446,-0.446,-0.136,0.446,-0.124,0.447,0.449,-0.446,0.188,0.447,0.202,0.447,-0.487,-0.446,-0.448,-0.225,-0.449,-0.279,1.0,-0.446,-0.271,0.472,0.77,0.511,-0.446,-0.446,-0.446,0.452,0.101,0.455,-0.252,-0.001,-0.174,-0.079,-0.258,-0.229,-0.109,-0.004,-0.07,-0.063,-0.112,-0.089,0.028,-0.001,0.014,0.014,0.026,0.035
c3_45_a_variance,-1.0,1.0,-0.002,-1.0,-0.002,-1.0,-1.0,1.0,-0.004,-1.0,-0.004,-1.0,0.988,1.0,1.0,-0.004,1.0,-0.005,-0.446,1.0,0.976,-0.999,0.005,-0.993,1.0,1.0,1.0,-0.992,-0.001,-0.977,0.001,-0.0,-0.0,0.002,-0.0,0.002,-0.001,-0.0,-0.002,-0.0,-0.002,-0.0,0.002,-0.0,0.001,0.001,0.002,0.003
c3_45_a_max,-0.976,0.976,-0.015,-0.976,-0.016,-0.976,-0.975,0.976,0.051,-0.976,0.052,-0.976,0.955,0.976,0.976,-0.07,0.976,-0.083,-0.271,0.976,1.0,-0.971,0.218,-0.96,0.976,0.976,0.976,-0.968,0.024,-0.953,-0.071,-0.0,-0.046,-0.024,-0.07,-0.069,-0.013,-0.002,-0.008,-0.008,-0.013,-0.011,-0.008,-0.0,-0.005,-0.003,-0.006,-0.011
c3_45_a_min,0.999,-0.999,-0.007,0.999,-0.004,0.999,0.999,-0.999,0.005,0.999,0.005,0.999,-0.988,-0.999,-0.999,0.003,-0.999,0.004,0.472,-0.999,-0.971,1.0,0.012,0.997,-0.999,-0.999,-0.999,0.991,0.001,0.977,-0.002,-0.0,-0.002,-0.001,-0.002,-0.001,-0.003,0.0,-0.002,-0.002,-0.003,-0.003,0.0,-0.0,-0.0,0.0,-0.001,0.001
c3_45_a_2max,-0.005,0.004,-0.062,-0.004,-0.057,-0.004,-0.001,0.004,0.258,-0.004,0.275,-0.004,-0.039,0.004,0.003,-0.302,0.003,-0.368,0.77,0.005,0.218,0.012,1.0,0.039,0.005,0.004,0.004,-0.003,0.124,-0.0,-0.35,-0.002,-0.223,-0.127,-0.341,-0.345,-0.062,-0.007,-0.029,-0.039,-0.058,-0.056,-0.038,-0.002,-0.02,-0.018,-0.028,-0.05
c3_45_a_2min,0.993,-0.993,-0.018,0.993,-0.015,0.993,0.993,-0.993,0.006,0.993,0.006,0.993,-0.984,-0.993,-0.993,-0.0,-0.993,-0.001,0.511,-0.993,-0.96,0.997,0.039,1.0,-0.993,-0.993,-0.993,0.986,0.002,0.973,-0.005,-0.0,-0.006,-0.0,-0.008,-0.002,-0.01,-0.0,-0.009,-0.005,-0.011,-0.007,0.003,-0.0,-0.0,0.002,0.001,0.006
c3_45_b_mean,-1.0,1.0,-0.001,-1.0,-0.001,-1.0,-1.0,1.0,-0.002,-1.0,-0.002,-1.0,0.988,1.0,1.0,-0.005,1.0,-0.006,-0.446,1.0,0.976,-0.999,0.005,-0.993,1.0,1.0,1.0,-0.991,0.003,-0.977,0.001,-0.0,-0.0,0.002,-0.0,0.002,-0.001,-0.0,-0.002,-0.0,-0.002,-0.0,0.003,-0.0,0.001,0.001,0.003,0.003
c3_45_b_variance,-1.0,1.0,-0.002,-1.0,-0.002,-1.0,-1.0,1.0,-0.004,-1.0,-0.004,-1.0,0.988,1.0,1.0,-0.004,1.0,-0.005,-0.446,1.0,0.976,-0.999,0.004,-0.993,1.0,1.0,1.0,-0.992,-0.001,-0.977,0.001,-0.0,0.0,0.002,-0.0,0.002,-0.001,-0.0,-0.002,-0.0,-0.002,-0.0,0.002,-0.0,0.001,0.001,0.002,0.003
c3_45_b_max,-1.0,1.0,-0.002,-1.0,-0.002,-1.0,-1.0,1.0,-0.004,-1.0,-0.004,-1.0,0.988,1.0,1.0,-0.004,1.0,-0.005,-0.446,1.0,0.976,-0.999,0.004,-0.993,1.0,1.0,1.0,-0.992,-0.001,-0.977,0.001,-0.0,-0.0,0.002,-0.0,0.002,-0.001,-0.0,-0.002,-0.0,-0.002,-0.0,0.002,-0.0,0.001,0.001,0.002,0.003
c3_45_b_min,0.992,-0.992,0.016,0.992,0.019,0.992,0.992,-0.992,0.069,0.992,0.071,0.992,-0.981,-0.992,-0.992,0.002,-0.992,0.001,0.452,-0.992,-0.968,0.991,-0.003,0.986,-0.991,-0.992,-0.992,1.0,0.08,0.995,-0.006,0.0,-0.002,-0.004,-0.003,-0.005,0.007,-0.0,0.007,0.004,0.006,0.005,0.02,-0.0,0.015,0.006,0.021,0.02
c3_45_b_2max,0.003,-0.001,0.277,0.001,0.303,0.001,0.007,-0.001,0.705,0.001,0.717,0.001,-0.021,-0.001,-0.001,-0.177,-0.001,-0.211,0.101,-0.001,0.024,0.001,0.124,0.002,0.003,-0.001,-0.001,0.08,1.0,0.137,-0.138,0.0,-0.067,-0.072,-0.107,-0.146,0.127,0.0,0.115,0.074,0.127,0.106,0.083,0.0,0.082,0.011,0.112,0.056
c3_45_b_2min,0.978,-0.977,0.028,0.977,0.031,0.977,0.979,-0.977,0.116,0.977,0.117,0.977,-0.969,-0.977,-0.978,-0.003,-0.978,-0.003,0.455,-0.977,-0.953,0.977,-0.0,0.973,-0.977,-0.977,-0.977,0.995,0.137,1.0,-0.01,-0.0,-0.004,-0.006,-0.007,-0.009,0.009,-0.001,0.011,0.006,0.009,0.008,0.034,-0.0,0.025,0.011,0.035,0.034
t_0deg_940_mean,-0.001,0.001,-0.045,-0.001,-0.03,-0.001,-0.003,0.001,-0.156,-0.001,-0.159,-0.001,0.014,0.001,0.001,0.142,0.001,0.164,-0.252,0.001,-0.071,-0.002,-0.35,-0.005,0.001,0.001,0.001,-0.006,-0.138,-0.01,1.0,-0.244,0.705,0.585,0.906,0.891,0.177,-0.179,0.114,0.207,0.141,0.217,0.582,-0.244,0.425,0.408,0.498,0.517
t_0deg_940_variance,0.0,-0.0,-0.003,0.0,-0.001,0.0,0.0,-0.0,0.001,0.0,0.002,0.0,0.002,-0.0,0.0,0.011,0.0,0.012,-0.001,-0.0,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.244,1.0,0.039,-0.866,0.006,-0.011,-0.141,0.76,0.021,-0.541,-0.0,-0.379,-0.271,1.0,0.04,-0.916,0.01,0.003
t_0deg_940_max,0.0,0.0,-0.02,0.0,-0.005,0.0,-0.001,0.0,-0.076,0.0,-0.08,-0.0,0.011,0.0,0.0,0.097,0.0,0.114,-0.174,-0.0,-0.046,-0.002,-0.223,-0.006,-0.0,0.0,-0.0,-0.002,-0.067,-0.004,0.705,0.039,1.0,0.202,0.688,0.54,0.171,0.055,0.334,0.06,0.163,0.107,0.475,0.033,0.794,0.119,0.427,0.382
t_0deg_940_min,-0.002,0.002,-0.046,-0.002,-0.041,-0.002,-0.002,0.002,-0.073,-0.002,-0.074,-0.002,0.002,0.002,0.002,0.036,0.002,0.041,-0.079,0.002,-0.024,-0.001,-0.127,-0.0,0.002,0.002,0.002,-0.004,-0.072,-0.006,0.585,-0.866,0.202,1.0,0.299,0.388,0.142,-0.663,-0.049,0.487,0.015,0.352,0.421,-0.864,0.101,0.891,0.149,0.194
t_0deg_940_2max,0.001,-0.0,-0.025,0.0,-0.01,0.0,-0.001,-0.0,-0.124,0.0,-0.128,0.0,0.016,-0.0,0.0,0.148,0.0,0.172,-0.258,-0.0,-0.07,-0.002,-0.341,-0.008,-0.0,-0.0,-0.0,-0.003,-0.107,-0.007,0.906,0.006,0.688,0.299,1.0,0.796,0.181,0.009,0.138,0.092,0.189,0.144,0.542,0.005,0.411,0.17,0.576,0.534
t_0deg_940_2min,-0.002,0.002,-0.073,-0.002,-0.059,-0.002,-0.003,0.002,-0.159,-0.002,-0.161,-0.002,0.013,0.002,0.002,0.14,0.002,0.161,-0.229,0.002,-0.069,-0.001,-0.345,-0.002,0.002,0.002,0.002,-0.005,-0.146,-0.009,0.891,-0.011,0.54,0.388,0.796,1.0,0.103,-0.004,0.044,0.067,0.074,0.103,0.447,-0.008,0.289,0.176,0.422,0.49
t_40deg_920_960_avg_mean,0.001,-0.001,0.118,0.001,0.11,0.001,0.001,-0.001,0.001,0.001,-0.001,0.001,-0.021,-0.001,-0.002,-0.105,-0.002,-0.125,-0.109,-0.001,-0.013,-0.003,-0.062,-0.01,-0.001,-0.001,-0.001,0.007,0.127,0.009,0.177,-0.141,0.171,0.142,0.181,0.103,1.0,-0.133,0.74,0.721,0.946,0.894,0.224,-0.143,0.169,0.18,0.186,0.167
t_40deg_920_960_avg_variance,0.0,-0.0,-0.002,0.0,-0.002,0.0,0.0,-0.0,-0.001,0.0,0.0,0.0,0.001,-0.0,-0.0,0.006,-0.0,0.005,-0.004,-0.0,-0.002,0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.001,-0.179,0.76,0.055,-0.663,0.009,-0.004,-0.133,1.0,0.174,-0.706,0.019,-0.355,-0.194,0.754,0.056,-0.681,0.011,0.006
t_40deg_920_960_avg_max,0.002,-0.002,0.122,0.002,0.116,0.002,0.002,-0.002,0.024,0.002,0.025,0.002,-0.016,-0.002,-0.002,-0.082,-0.002,-0.099,-0.07,-0.002,-0.008,-0.002,-0.029,-0.009,-0.002,-0.002,-0.002,0.007,0.115,0.011,0.114,0.021,0.334,-0.049,0.138,0.044,0.74,0.174,1.0,0.383,0.693,0.541,0.169,0.014,0.338,0.025,0.15,0.113
t_40deg_920_960_avg_min,0.001,-0.0,0.058,0.0,0.053,0.0,0.0,-0.0,-0.003,0.0,-0.005,0.0,-0.013,-0.0,-0.001,-0.065,-0.001,-0.076,-0.063,-0.0,-0.008,-0.002,-0.039,-0.005,-0.0,-0.0,-0.0,0.004,0.074,0.006,0.207,-0.541,0.06,0.487,0.092,0.067,0.721,-0.706,0.383,1.0,0.561,0.722,0.243,-0.541,0.058,0.525,0.092,0.091
t_40deg_920_960_avg_2max,0.003,-0.002,0.147,0.002,0.139,0.002,0.002,-0.002,0.003,0.002,0.002,0.002,-0.021,-0.002,-0.003,-0.106,-0.003,-0.125,-0.112,-0.002,-0.013,-0.003,-0.058,-0.011,-0.002,-0.002,-0.002,0.006,0.127,0.009,0.141,-0.0,0.163,0.015,0.189,0.074,0.946,0.019,0.693,0.561,1.0,0.795,0.188,-0.002,0.161,0.048,0.198,0.164
t_40deg_920_960_avg_2min,0.0,-0.0,0.08,0.0,0.073,0.0,0.0,-0.0,-0.002,0.0,-0.004,0.0,-0.018,-0.0,-0.001,-0.09,-0.001,-0.106,-0.089,-0.0,-0.011,-0.003,-0.056,-0.007,-0.0,-0.0,-0.0,0.005,0.106,0.008,0.217,-0.379,0.107,0.352,0.144,0.103,0.894,-0.355,0.541,0.722,0.795,1.0,0.255,-0.377,0.101,0.384,0.149,0.147
t_0deg_400_770_avg_mean,-0.002,0.002,-0.103,-0.002,-0.098,-0.002,-0.0,0.002,0.122,-0.002,0.131,-0.002,-0.027,0.002,0.0,-0.052,0.0,-0.073,0.028,0.002,-0.008,0.0,-0.038,0.003,0.003,0.002,0.002,0.02,0.083,0.034,0.582,-0.271,0.475,0.421,0.542,0.447,0.224,-0.194,0.169,0.243,0.188,0.255,1.0,-0.273,0.729,0.576,0.92,0.919
t_0deg_400_770_avg_variance,0.0,-0.0,-0.004,0.0,-0.002,0.0,0.0,-0.0,0.002,0.0,0.002,0.0,0.002,-0.0,0.0,0.011,0.0,0.011,-0.001,-0.0,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.244,1.0,0.033,-0.864,0.005,-0.008,-0.143,0.754,0.014,-0.541,-0.002,-0.377,-0.273,1.0,0.035,-0.918,0.009,0.002
t_0deg_400_770_avg_max,-0.001,0.001,-0.058,-0.001,-0.05,-0.001,0.0,0.001,0.11,-0.001,0.114,-0.001,-0.014,0.001,0.0,-0.038,0.0,-0.053,0.014,0.001,-0.005,-0.0,-0.02,-0.0,0.001,0.001,0.001,0.015,0.082,0.025,0.425,0.04,0.794,0.101,0.411,0.289,0.169,0.056,0.338,0.058,0.161,0.101,0.729,0.035,1.0,0.198,0.706,0.617
t_0deg_400_770_avg_min,-0.001,0.001,-0.045,-0.001,-0.045,-0.001,-0.001,0.001,0.027,-0.001,0.03,-0.001,-0.012,0.001,0.0,-0.021,0.0,-0.028,0.014,0.001,-0.003,0.0,-0.018,0.002,0.001,0.001,0.001,0.006,0.011,0.011,0.408,-0.916,0.119,0.891,0.17,0.176,0.18,-0.681,0.025,0.525,0.048,0.384,0.576,-0.918,0.198,1.0,0.287,0.336
t_0deg_400_770_avg_2max,-0.002,0.002,-0.09,-0.002,-0.084,-0.002,-0.001,0.002,0.148,-0.002,0.157,-0.002,-0.021,0.002,0.001,-0.053,0.001,-0.074,0.026,0.002,-0.006,-0.001,-0.028,0.001,0.003,0.002,0.002,0.021,0.112,0.035,0.498,0.01,0.427,0.149,0.576,0.422,0.186,0.011,0.15,0.092,0.198,0.149,0.92,0.009,0.706,0.287,1.0,0.891
t_0deg_400_770_avg_2min,-0.003,0.003,-0.13,-0.003,-0.126,-0.003,-0.001,0.003,0.104,-0.003,0.113,-0.003,-0.031,0.003,0.0,-0.048,0.0,-0.068,0.035,0.003,-0.011,0.001,-0.05,0.006,0.003,0.003,0.003,0.02,0.056,0.034,0.517,0.003,0.382,0.194,0.534,0.49,0.167,0.006,0.113,0.091,0.164,0.147,0.919,0.002,0.617,0.336,0.891,1.0
